UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Rondonia,-,-,-,-,-,-,-,"4,38","1,8","7,63","123,71","120,06","109,44","206,68","224,87","387,46","272,33","212,64","365,9"
Acre,-,-,-,-,-,-,-,-,-,-,"267,97","354,98","151,97","161,51","727,66","345,53","39,61","75,06","313,64"
Amazonas,-,-,-,-,-,-,-,-,"551,2","201,79","224,67","662,66","75,8","132,36","29,02","31,49","19,33","61,37","222,77"
Roraima,-,-,-,-,-,-,"165,5","149,31","98,96","719,71","1265,12","1140,53","351,14","1390,14","153,2","602,84","251,89","212,15","1207,9"
Para,-,-,-,-,-,"0,51","5,82","369,46","189,55","49,62","122,7","264,13","178,29","148,35","84,63","118,35","92,46","199,51","207,57"
Amapa,-,-,-,-,-,-,-,-,"6,18","0,91",-,"642,17","166,11","755,37",458,"430,55","300,3",562,"194,89"
Tocantins,-,"238,51",-,-,"1,82","317,08","187,39","79,76","169,98","68,91","58,85","417,55","163,88","153,23","120,26","257,17","445,8","949,38","778,75"
Maranhao,-,-,-,-,-,"33,95","120,87","115,23","227,21","75,43","55,21","109,7","146,49","99,75","27,02","108,3","83,61","213,56","87,94"
Piaui,-,-,-,-,"0,97","119,63","216,12","105,38","538,73","53,07","216,83","359,11","304,88","325,1","29,39","150,65","158,35","315,19","74,81"
Ceara,"250,07","105,28",-,"0,11","711,88","29,65","30,83","95,23","190,91","137,06","147,19","451,71","257,04","429,55","50,08","335,9","346,33","414,13","576,56"
Rio Grande do Norte,-,-,-,-,"13,56","200,63","258,26","985,97","680,14","235,41","241,68","1330,46","764,83","718,86","90,78","160,53","275,42","432,22","916,58"
Paraiba,-,-,-,-,-,"50,93","365,08","1581,79","1747,73","23,76","35,08","431,12","536,27","361,99","38,31","166,36","85,17","296,83","208,14"
Pernambuco,-,-,-,-,-,"134,07","307,09","436,96","699,56","274,13","292,9","168,05","1235,28","186,08","27,99","66,32","103,34","262,17","210,84"
Alagoas,"11,94","52,38",-,"29,99",13,"29,57","98,59","287,87","337,71","26,02","22,78","70,34","259,01","209,04","150,82","88,66","103,88","344,34","418,38"
Sergipe,-,-,-,-,-,-,"194,7","675,07","1620,91","244,87","315,39","195,22","286,72","255,04","22,54","34,2","57,48","73,87","1065,53"
Bahia,-,-,-,-,"15,18","272,87","513,77","357,62","170,38","3,57","26,59","212,64","582,26","315,3","34,13","129,44",49,"68,23","235,61"
Minas Gerais,-,"1,82",-,"23,93",-,"17,16","31,49","31,68","861,99","7,55","15,84","178,09","209,78","77,19","72,27","58,82","154,3","143,85","247,78"
Espirito Santo,-,-,-,-,-,"97,79","203,91","453,33","1354,36","6,81","197,82","243,66","796,01","899,94","104,17","81,04","292,21","194,62","753,75"
Rio de Janeiro,"155,51","670,62","12,84","4,77","2,18","265,03","121,03",17,"236,69","20,03","17,81","431,22","1691,58","37,25","8,2","9,13","171,07","367,03","1242,98"
Sao Paulo,"6,72","11,59",-,"1,99","1,73","17,95","20,82","5,87","88,72","54,28","13,09","155,74","117,5","43,34","7,86","15,8","150,24","275,96","28,06"
Parana,-,-,-,-,-,"35,76","57,76","7,83","29,18","3,32","12,28","16,42","73,78","111,38","1,57","10,31","12,03","258,73","17,3"
Santa Catarina,-,-,-,-,-,-,"0,06","0,1","2,78","0,1","0,34","0,79","5,25","1,05","0,28","0,82","1,02","2,51","1,55"
Rio Grande do Sul,-,-,-,-,-,-,"0,09",-,"1,08","0,2","0,17","0,63","4,24","0,54","0,21","0,39","0,64","3,84","1,2"
Mato Grosso do Sul,"92,3","244,11",-,"30,81","61,32","267,4","174,5","253,74","129,19","236,65","224,83","447,17","568,85","97,57","15,47","28,48","538,56","2971,38","32,19"
Mato Grosso,-,-,-,"41,23","60,84","502,58","269,07","155,69","376,86","0,29","62,65","101,48","356,62","357,03","87,15","245,03","348,55","564,59","222,81"
Goias,-,-,-,-,"78,83","190,11","139,89","79,94","135,15","19,02","29,86","210,42","421,6","161,5","106,07","335,4","424,45","257,52","605,95"
Distrito Federal,-,-,-,-,"0,76",-,"4,67","37,77","144,28","7,21","8,82","75,28","147,49","40,55","11,48","16,63","21,77","46,88","45,48"
Total,"27,29","71,1","1,12","4,87","36,81","88,12","116,99","156,13","326,59","54,48","63,89","225,97","401,63","156,88","40,01","82,28","143,19","264,88","293,35"
