"id_instituicao","instituicao","sigla","departamento","estado","pais"
74,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Depto de Informática","RJ","Brasil"
112,"Universidade Católica de Pelotas","UCPEL","","RS","Brasil"
111,"Universidade Católica de Pelotas","UCPel","","RS","Brasil"
14,"Companhia Paulista de Força e Luz Paulista","CPFL","","SP","Brasil"
66,"Pontifícia Universidade Católica do Paraná","PUCPR","","PR","Brasil"
231,"Universidade Federal do Amazonas","UFAM","Grupo de Pesquisa sobre Usabilidade e Engenharia de Software","AM","Brasil"
87,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Instituto de Computação","RS","Brasil"
83,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","","RS","Brasil"
130,"Universidade de São Paulo","USP","","SP","Brasil"
121,"Universidade de Fortaleza","UNIFOR","","CE","Brasil"
70,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Departamento de Informática","RJ","Brasil"
157,"Universidade Estadual de Campinas","UNICAMP","DCA - FEEC","SP","Brasil"
67,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","","RJ","Brasil"
270,"Universidade Federal Rural de Pernambuco","UFRPE","Departamento de Estatística e Informática","PE","Brasil"
224,"Universidade Federal de Viçosa","UFV","","MG","Brasil"
56,"Instituto Federal do Rio Grande do Norte","IFRN","","RN","Brasil"
217,"Universidade Federal de São Carlos","UFSCar","Advanced Interaction Laboratory","SP","Brasil"
254,"Universidade Federal do Rio Grande do Norte","UFRN","Departamento de Informática e Matemática Aplicada","RN","Brasil"
85,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Faculdade de Computação","RS","Brasil"
201,"Universidade Federal de Pernambuco","UFPE","Centro de Informática","PE","Brasil"
196,"Universidade Federal de Minas Gerais","UFMG","Departamento de Sociologia e Antropologia","MG","Brasil"
189,"Universidade Federal de Mato Grosso","UFMT","Instituto de Computação","MT","Brasil"
272,"Universidade Regional Integrada do Alto Uruguai e das Missões","URI","","RS","Brasil"
185,"Universidade Federal de Goiás","UFG","","GO","Brasil"
246,"Universidade Federal do Pernambuco","UFPE","","PE","Brasil"
36,"Fundação Oswaldo Cruz","Fiocruz","","",""
237,"Universidade Federal do Estado do Rio de Janeiro","UNIRIO","","RJ","Brasil"
34,"Fundação Oswaldo Cruz","Fiocruz","","RJ","Brasil"
35,"Fundação Oswaldo Cruz","FIOCRUZ","","RJ","Brasil"
238,"Universidade Federal do Estado do Rio de Janeiro","UNIRIO","","",""
184,"Universidade Federal de Campina Grande","UFCG","Departamento de Sistemas e Computação","PB","Brasil"
179,"Universidade Federal da Bahia","UFBA","","BA","Brasil"
166,"Universidade Estadual de Campinas","Unicamp","Instituto de Computação","SP","Brasil"
167,"Universidade Estadual de Campinas","UNICAMP","Instituto de Computação","SP","Brasil"
169,"Universidade Estadual de Campinas","UNICAMP","Instituto de Computação (IC) & NIED","SP","Brasil"
132,"Universidade de São Paulo","USP","Departamento de Computação","SP","Brasil"
88,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Museu de Ciências e Tecnologia","RS","Brasil"
268,"Universidade Federal Fluminense","UFF","Instituto de Computação","RJ","Brasil"
99,"Unidade de Desenvolvimento de Software Paraiba","UDPB","","PB","Brasil"
110,"Universidad Politécnica de San Luis Potosi","UPSLP","División Nuevas Tecnologías de la Información","","México"
20,"Embrapa Monitoramento por Satélite","CNPM","","SP","Brasil"
71,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Departamento de Psicologia","RJ","Brasil"
72,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Departamento de Psicologia, Departamento de Informática","RJ","Brasil"
64,"Pontifícia Universidade Católica de Minas Gerais","PUCMINAS","Mestrado em Informática","MG","Brasil"
86,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Faculdade de Informática","RS","Brasil"
193,"Universidade Federal de Minas Gerais","UFMG","Departamento de Ciência da Computação","MG","Brasil"
104,"Universidad de las Américas-Puebla","UDLA-P","Library and Center for Research in Information and Automation Technologies of the Universidad de las Américas-Puebla","1","México"
15,"Consejo Nacional de Investigaciones Científicas y Técnicas","CONICET","","1","Argentina"
107,"Universidad Nac. del Centro de la Pcia. de Buenos Aires","ISISTAN","","",""
57,"KTH Royal Institute of Technology","KTH","","1","Suécia"
214,"Universidade Federal de São Carlos","UFSCar","","SP","Brasil"
150,"Universidade do Vale do Itajaí","UNIVALI","","SC","Brasil"
219,"Universidade Federal de São Carlos","UFSCar","Departamento de Computação","SP","Brasil"
260,"Universidade Federal do Rio Grande do Sul","UFRGS","Instituto de Informática","RS","Brasil"
24,"Faculdade Natalence para o Desenvolvimento do Rio Grande do Norte","FARN","","",""
251,"Universidade Federal do Rio Grande do Norte","UFRN","","RN","Brasil"
105,"Universidad del Cauca","UNICAUCA","Departamento de Sistemas","","Colômbia"
30,"Fundação Educacional Inaciana Pe. Sabóia de Medeiros","Centro Universitário da FEI","","SP","Brasil"
93,"Sheffield Hallam University","SHU","Communication and Computing Research Centre Sheffield Hallam University","1","Inglaterra"
95,"The Open University","The Open University","Knowledge Media Institute (KMi)","1","Inglaterra"
114,"Universidade Católica de Pelotas","UCPel","Escola de Informática","RS","Brasil"
225,"Universidade Federal do ABC","UFABC","","SP","Brasil"
207,"Universidade Federal de Santa Catarina","UFSC","Departamento de Engenharia de Produção e Sistemas","SC","Brasil"
131,"Universidade de São Paulo","USP","Departamento de Ciência da Computação","SP","Brasil"
47,"Instituto Brasileiro de Geografia e Estatística","IBGE-RN","","",""
12,"Companhia de Processamento de Dados do Estado do Rio Grande do Sul","PROCERGS","","RS","Brasil"
240,"Universidade Federal do Estado do Rio de Janeiro","UNIRIO","Departamento de Informática Aplicada","RJ","Brasil"
241,"Universidade Federal do Maranhão","UFMA","","MA","Brasil"
190,"Universidade Federal de Mato Grosso","UFMT","Instituto de Computação - Laboratório de Ambientes Virtuais Interativos","MT","Brasil"
180,"Universidade Federal da Bahia","UFBA","Departamento de Ciência da Computação","BA","Brasil"
275,"Universidade Salvador","UNIFACS","PPGCOMP","BA","Brasil"
276,"Universidade Salvador","UNIFACS","Programa de Pós-Graduação em Sistemas e Computação","BA","Brasil"
181,"Universidade Federal da Bahia","UFBA","DMCC","BA","Brasil"
273,"Universidade Salvador","UNIFACS","","BA","Brasil"
142,"Universidade do Estado da Bahia","UNEB","","BA","Brasil"
63,"Pontifícia Universidade Católica de Minas Gerais","PUC Minas","","MG","Brasil"
266,"Universidade Federal Fluminense","UFF","","RJ","Brasil"
202,"Universidade Federal de Pernambuco","UFPE","Departamento de Ciência da Informação","PE","Brasil"
158,"Universidade Estadual de Campinas","Unicamp","Departamento de Computação e Automação Industrial","SP","Brasil"
40,"IBM Research","IBM","","SP","Brasil"
138,"Universidade de São Paulo","USP","Instituto de Matemática e Estatística","SP","Brasil"
239,"Universidade Federal do Estado do Rio de Janeiro","UFRJ","","RJ","Brasil"
