idpaper,referencia,tiporef,anoref,siglaref,idiomaref,id_referencias,ni,trad.sn
4506,"Andersen, P. B. (1997). A Theory of Computer Semiotics. Updated ed. of 1990.NewYork: Cambridge UniversityPress.",L,1997,Cambridge University,EN,1,,
4506,"Card, S. K., Moran, T. P., Newell, A. (1983). The Psycology of Human-Computer Interaction. Hillsdale: Lawrence Erlbaum Associates.",L,1983,Erlbaum,EN,2,,
4506,"Familant, M.E., Detweiler, M.C. (1993). Iconic reference: evolving perspectives and an organizing framework.International Journal of Man-Machine Studies, V. 39, n. 4, p. 705-728.",P,1993,IJMMS,EN,3,,
4506,"Jorna, R.; Van Heusden, B. (1996). Semiotics of user interface. Semiotica. V. 109, n.3/4, p. 237-250.",P,1996,Semiotica,EN,4,,
4506,"Laurel, B. (1990). The Art of Human-Computer Interaction. Reading, MA: Addison-Wesley.",L,1990,ADDISON WESLEY,EN,5,I,N
4506,"Nadin, M. (1988). Interface design: A semiotic paradigm. Semiotica. V. 69, n.3/4, p.269-302.",P,1988,Semiotica,EN,6,,
4506,"Norman, D. A. (1986). Cognitive Engineering. In Norman, D. A., Draper, S. W. (eds), User Centered System Design in New Perspectives on Human-Computer Interaction. Hillsdale: Lawrence Erlbaum Associates, p. 31-61.",L,1986,Hillsdale,EN,7,,
4506,"Norman, D. A., Draper, S. W. (1986). User Centered System Design in New Perspectives on Human-Computer Interaction. Hillsdale: Lawrence Erlbaum Associates.",L,1986,Hillsdale,EN,8,,
4506,"Schneider, M. L., Thomas, J. C. (1983). The Humanization of Computer Interfaces (Introduction).Communications of the ACM. V. 26, n. 4, p. 252-253.",P,1983,CACM,EN,9,,
4506,"Schneiderman, B. (1986). Designing the User Interface: Strategies for Effective Human-Computer Interaction.Reading, Mass.: Addison-Wesley.",L,1986,Addison-Wesley,EN,10,,
4506,"Souza, C. S. (1993). The Semiotic Engineering of User Interface Languages. International Journal of Man-Machine Studies, v. 39, p. 753-773.",P,1993,International Journal of Man-Machine Studies,EN,11,,
4506,"Tversky, A. (1977). Features of similarity. Psychological Review, v. 84, p.327-352.",P,1977,Psychological Review,EN,12,,
4507,"Andersen, P.B. (1990) A Theory of Computer Semiotics. Cambridge. Cambridge University Press.",L,1990,Cambridge University,EN,13,,
4507,"Andersen, P.B. (1993) A Semiotic Approach to programming. in Andersen, Holmqvist and Jensen (Eds.) Computers as Media. Cambridge. Cambridge University Press.",L,1993,Cambridge University,EN,14,,
4507,"Apple Computer, Inc. (1992) Macintosh Human Interface Guidelines. Reading,Ma. Addison Wesley.",L,1992,Addison-Wesley,EN,15,,
4507,"Barbosa, S.D.J.; Cara, M.P.; Cereja,J.R.; Cunha, C.K.V.; de Souza, C.S. (1997) Interactive Aspects in Switching between User Interface Language and End-User Programming Environment: A Case Study. In Proceedings of WOMH?97. São Carlos, Brazil.",C,1997,WOHM,EN,16,,
4507,"Cypher, A. (eds.) Watch What I Do: Programming by Demonstration. MIT Press. Cambridge, Ma. 1993.",L,1993,MIT Press,EN,17,,
4507,"da Silva, S.R.P. (1996) Guidelines for an UIL[EUPL for word processors. SERG Technical Report. PUC-Rio.",R,1996,report,EN,18,,
4507,"da Silva, S.R.P.; Barbosa, S.D.J.; de Souza, C.S. (1997) Communicating Different Perspectives on Extensible Software. In Lucena, C.J.P. (ed.) Monografias em Ciência da Computação. Departamento de Informática. PUC-RioInf MCC 23/97. Rio de Janeiro.",R,1997,Monografias,EN,19,,
4507,"da Silva, S.R.P.; de Souza, C.S.; Ierusalimschy, R. (1997) A Communicative Approach to End-User Programming Languages. In Lucena, C.J.P. (ed.) Monografias em Ciência da Computação. Departamento de Informática. PUC-RioInf MCC 47/97. Rio de Janeiro.",R,1997,Monografias,EN,20,,
4507,"de Souza, C.S. (1993) The Semiotic Engineering of User Interface Languages. International Journal of Man-Machine Studies. No. 39. pp. 753-773.",P,1993,IJMMS,EN,21,,
4507,"de Souza, C.S. (1996). The Semiotic Engineering of Concretness and Abstractness: From User Interface Languages to End User Programming Languages. Dagstuhl Seminar on Informatics and Semiotics. Schloss Dagstuhl, February 16-23.",C,1996,DagstuhlIS,EN,22,I,
4507,"de Souza, C.S. (1997). Supporting End-User Programming with Explanatory Discourse. ISAS?97.",C,1997,ISAS,EN,23,I,
4507,"de Souza, C.S. and Barbosa, S.D.J. (1996) End-User Programming Environments: The Semiotic Challenges. In Lucena, C.J.P. (ed.) Monografias em Ciência da Computação. Departamento de Informática. . PUC-RioInf MCC 19/96. Rio de Janeiro.",R,1996,MCC,EN,24,,
4507,"Digiano, C. and Eisenberg, M. (1995) Self-disclosing design tools: A gentle introduction to end-user programming. in Proceedings of DIS ?95. Ann Arbor, Michigan. August 23-25, 1995. ACM Press.",C,1995,DIS,EN,25,,
4507,"Draper, S.W. (1986) Display managers as the basis for user machine communication. In Norman and Draper (eds.) User Centered System Design. Lawrence Erlbaum and Associates. Hillsdale, NJ.",L,1986,Lawrence Erlbaum and Associates,EN,26,,
4507,"Gelernter, D. and Jagannathan, S. (1990) Programming Linguistics. Cambridge, Ma. The MIT Press.",L,1990,MIT Press,EN,27,,
4507,"Kurlander, D. & Feiner, S. ?A History-Based Macro by Example System? in Watch What I Do: Programming by Demonstration edited by Allen Cypher.MIT Press. Cambridge, Ma. 1993.",L,1993,MIT PRESS,EN,28,I,N
4507,Microsoft Corporation (1995) The Windows Interface Guidelines for Software Design. Redmond. Microsoft Press.,L,1995,Microsoft Press,EN,29,,
4507,"Myers, B.; Canfield Smith, D.; and Horn, B. (1992) Report of the End User Programming Working Group. In Myers, B. (Ed.) Languages for Developing User Interfaces. Boston. Jones and Bartlett. pp. 343-366.",L,1992,Jones and Bartlett,EN,30,,
4507,"Myers, B.A. (Ed.) (1992). Languages for Developing User Interfaces. Jones and Bartlett Publications. Boston.",L,1992,Jones and Bartlett,EN,31,,
4507,"Nadin, M. (1988) Interface Design and Evaluation ? Semiotic Implications, in Hartson, R. and Hix, D. (eds.), Advances in Human?Computer Interaction, Volume 2, 45?100.",P,1988,Advances in Human-Computer Interaction,EN,32,,
